rider_id,name,city,signup_date,rating
1,Vivaan Sharma,Chennai,2024-11-23,3.91
2,Aditya Patel,Chennai,2024-04-24,4.61
3,Vivaan Joshi,Hyderabad,2024-10-06,3.55
4,Vihaan Singh,Pune,2024-02-17,4.4
5,Vihaan Yadav,Hyderabad,2024-10-14,3.83
6,Arjun Sharma,Kolkata,2024-10-28,4.71
7,Reyansh Verma,Bangalore,2024-12-23,3.73
8,Vivaan Patel,Hyderabad,2024-06-21,3.65
9,Kabir Khan,Kolkata,2024-06-25,3.57
10,Ishaan Patel,Hyderabad,2024-08-23,3.62
11,Kabir Verma,Pune,2024-05-30,3.79
12,Aarav Singh,Kolkata,2024-02-05,3.93
13,Vihaan Patel,Hyderabad,2024-02-10,3.92
14,Sai Reddy,Bangalore,2024-11-21,4.03
15,Arjun Patel,Pune,2024-12-09,4.45
16,Vihaan Reddy,Hyderabad,2024-09-30,4.07
17,Ishaan Singh,Chennai,2024-11-23,3.99
18,Vihaan Sharma,Kolkata,2024-01-29,3.97
19,Vivaan Singh,Pune,2024-05-17,4.81
20,Vihaan Gupta,Hyderabad,2024-06-10,4.83
21,Krishna Reddy,Bangalore,2024-11-25,3.71
22,Ishaan Khan,Chennai,2024-10-14,4.38
23,Reyansh Verma,Delhi,2024-10-25,5.0
24,Ishaan Gupta,Mumbai,2024-03-11,4.63
25,Aditya Reddy,Kolkata,2024-02-26,4.52
26,Vivaan Nair,Hyderabad,2024-11-01,4.39
27,Ishaan Khan,Pune,2024-08-27,4.79
28,Vivaan Yadav,Kolkata,2024-01-06,3.9
29,Sai Patel,Bangalore,2024-11-24,4.15
30,Aarav Khan,Pune,2024-08-20,4.64
31,Vivaan Khan,Kolkata,2024-09-16,4.46
32,Vihaan Reddy,Bangalore,2024-11-07,4.64
33,Ishaan Sharma,Pune,2024-10-03,3.99
34,Vivaan Verma,Kolkata,2024-01-10,4.71
35,Aarav Singh,Pune,2024-05-02,4.92
36,Krishna Patel,Kolkata,2024-02-13,4.3
37,Aditya Gupta,Pune,2024-03-05,3.75
38,Kabir Nair,Delhi,2024-09-27,4.89
39,Vihaan Khan,Hyderabad,2024-12-19,4.99
40,Sai Gupta,Pune,2024-11-28,4.18
41,Vihaan Patel,Bangalore,2024-05-06,3.53
42,Vihaan Joshi,Delhi,2024-10-10,3.51
43,Aarav Singh,Mumbai,2024-12-28,4.86
44,Vivaan Yadav,Delhi,2024-06-18,3.92
45,Vihaan Yadav,Delhi,2024-09-05,4.59
46,Kabir Gupta,Delhi,2024-10-19,4.68
47,Vihaan Patel,Mumbai,2024-07-27,4.49
